ID,CAS # ,SMILES ,Chemical Name,Abrrev. name (Unique concatenate),LogBMF,Scientific Name (Unique concatenate),Common Name (Unique concatenate),BMF (Arnot&Quinn),no. Records,Standard error
162,68194-15-0,Clc1cc(-c2c(Cl)cccc2Cl)c(Cl)c(Cl)c1Cl,"2,2',3,4,5,6'-Hexachlorobiphenyl",PCB 143,-0.60,"Gasterosteus aculeatus, Danio rerio","Three-spined stickleback, Zebrafish","M, L",2,0.05
163,68194-16-1,Clc1cccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl,"2,2',3,3',4,5,6-Heptachlorobiphenyl",PCB 173,0.01,Gasterosteus aculeatus,Three-spined stickleback,M,1,0.00
164,68515-47-9,CC(C)CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCC(C)C,Diisotridecyl phthalate,--,-2.05,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
165,68526-85-2,CC(C)CCCCCCCO,"Isodecanol (high dose), Isodecanol (low dose)",--,-1.92,Oncorhynchus mykiss,Rainbow trout,"M, M",2,0.00
166,68526-86-3,CC(C)CCCCCCCCCCO,"IsoTridecanol (high dose), Isotridecanol (low dose)",--,-1.89,Oncorhynchus mykiss,Rainbow trout,"H, H",2,0.00
167,6975-98-0,CCCCCCCCC(C)C,2-methyl decane,--,-1.44,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
168,69782-91-8,Clc1cc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc(Cl)c1Cl,"2,3,3',4',5,5',6-Heptachlorobiphenyl",PCB 193,0.96,Gasterosteus aculeatus,Three-spined stickleback,M,1,0.00
169,7012-37-5,Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,"2,4,4'-Trichlorobiphenyl",PCB 28,0.29,Oncorhynchus mykiss,Rainbow trout,"L, L",2,0.15
170,702-79-4,CC12CC3CC(C1)CC(C)(C3)C2,"1,3-Dimethyladamantane",--,-1.17,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
171,70356-09-1,COc1ccc(C(=O)CC(=O)c2ccc(C(C)(C)C)cc2)cc1,"1-(4-tert-butylphenyl)-3-(4-methoxyphenyl)propane-1,3-Dione",--,-0.91,Oncorhynchus mykiss,Rainbow trout,M,1,0.00
172,70362-46-8,Clc1cc(Cl)c(Cl)c(-c2ccccc2Cl)c1,"2,2',3,5-Tetrachlorobiphenyl",PCB 43,0.83,Oncorhynchus mykiss,Rainbow trout,"L, L",2,0.15
173,70362-49-1,Clc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2)c1,"3,3',4,5-Tetrachlorobiphenyl",PCB 78,-2.52,Gasterosteus aculeatus,Three-spined stickleback,M,1,0.00
174,7045-71-8,CCCCCCCCCC(C)C,2-methyl undecane,--,-1.29,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
175,7116-96-3,CCCCCc1ccc(-c2ccccc2)cc1,"4-pentyl-1,1'-Biphenyl",--,-1.17,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
176,717-74-8,CC(C)c1cc(C(C)C)cc(C(C)C)c1,"Benzene, 1,3,5-Tris(1-methylethyl)-",--,-0.40,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
177,72-43-5,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,"Methoxy chlor, 1,1'-(2,2,2-Trichloroethylidene)bis[4-methoxy-benzene","--, MXC",-1.12,"Oncorhynchus mykiss, Cyprinus carpio","Rainbow trout, Common carp","M, M, M, L, L, H, H, H, H, H, H, H",12,0.03
178,73575-52-7,Clc1cc(Cl)cc(-c2ccc(Cl)cc2Cl)c1,"2,3',4,5'-Tetrachlorobiphenyl",PCB 68,0.22,"Gasterosteus aculeatus, Danio rerio","Three-spined stickleback, Zebrafish","M, L",2,0.00
179,74472-33-6,Clc1cccc(-c2c(Cl)ccc(Cl)c2Cl)c1,"2,3,3',6-Tetrachlorobiphenyl",PCB 59,0.72,Oncorhynchus mykiss,Rainbow trout,"L, L",2,0.05
180,74472-36-9,Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1,"2,3,3',5,6-Pentachlorobiphenyl",PCB 112,0.48,Gasterosteus aculeatus,Three-spined stickleback,M,1,0.00
181,74472-38-1,Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc1,"2,3,4,4',6-Pentachlorobiphenyl",PCB 115,0.86,Gasterosteus aculeatus,Three-spined stickleback,M,1,0.00
182,74472-48-3,Clc1cc(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1,"2,2',3,4,4',6,6'-Heptachlorobiphenyl",PCB 184,0.93,Gasterosteus aculeatus,Three-spined stickleback,M,1,0.00
183,74472-53-0,Clc1cc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc(Cl)c1Cl,"2,3,3',4,4',5,5',6-Octachlorobiphenyl",PCB 205,0.81,Oncorhynchus mykiss,Rainbow trout,"L, L",2,0.30
184,74487-85-7,Clc1cc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c(Cl)c1,"2,2',3,4',5,6,6'-Heptachlorobiphenyl",PCB 188,0.88,Gasterosteus aculeatus,Three-spined stickleback,M,1,0.00
